Tenure Months,Location,Device Class,Games Product,Music Product,Education Product,Call Center,Video Product,Use MyApp,Payment Method,Monthly Purchase (Thou. IDR),Churn Label,CLTV (Predicted Thou. IDR)
2,Jakarta,Mid End,1,1,0,0,0,0,Digital Wallet,70.005,1,4210.7
2,Jakarta,High End,0,0,0,0,0,0,Pulsa,91.91,1,3511.3
8,Jakarta,High End,0,0,1,0,1,1,Pulsa,129.545,1,6983.6
28,Jakarta,High End,0,0,1,1,1,1,Pulsa,136.24,1,6503.9
49,Jakarta,High End,0,1,1,0,1,1,Debit,134.81,1,6942.0
10,Jakarta,Mid End,0,0,1,1,0,0,Credit,71.76,1,7702.5
1,Jakarta,Mid End,0,0,1,0,0,1,Pulsa,51.545,1,7062.9
1,Jakarta,Low End,0,0,0,0,0,0,Digital Wallet,26.195,1,6281.6
47,Jakarta,High End,0,1,0,0,1,1,Pulsa,129.155,1,7525.7
1,Jakarta,Mid End,0,1,0,0,0,0,Pulsa,39.26,1,3789.5
17,Jakarta,Mid End,0,0,0,0,1,1,Digital Wallet,84.11,1,3928.6
5,Jakarta,High End,0,0,0,0,0,0,Pulsa,90.61,1,3190.2
34,Jakarta,High End,0,1,1,0,1,1,Pulsa,138.255,1,3823.3
11,Jakarta,High End,0,0,1,0,1,1,Debit,127.205,1,7376.2
2,Jakarta,High End,0,0,0,0,1,0,Pulsa,104.845,1,7261.8
15,Jakarta,High End,1,1,0,0,1,1,Credit,128.83,1,3855.8
8,Jakarta,High End,0,1,0,0,0,0,Credit,104.845,1,6892.6
18,Jakarta,High End,0,0,0,0,1,1,Pulsa,124.085,1,4132.7
9,Jakarta,High End,0,0,0,0,1,1,Pulsa,122.72,1,7242.3
1,Jakarta,High End,0,0,0,0,1,0,Pulsa,103.155,1,3227.9
7,Jakarta,High End,0,0,1,0,0,0,Debit,97.695,1,4494.1
12,Jakarta,High End,1,0,0,0,0,0,Pulsa,102.635,1,7547.8
5,Jakarta,Low End,0,0,0,0,0,0,Digital Wallet,27.365,1,3385.2
25,Jakarta,High End,0,1,1,0,1,1,Pulsa,128.05,1,6938.1
68,Jakarta,High End,0,1,1,1,1,1,Debit,143.0,1,6544.2
55,Jakarta,High End,1,1,0,0,1,0,Pulsa,125.775,1,6700.2
37,Jakarta,High End,0,0,0,0,0,0,Pulsa,99.45,1,3630.9
10,Jakarta,High End,1,0,0,0,1,1,Pulsa,130.325,1,7797.4
3,Jakarta,High End,0,0,0,0,0,0,Pulsa,96.72,1,5739.5
27,Jakarta,High End,0,0,1,0,0,0,Pulsa,101.465,1,6029.4
25,Jakarta,Mid End,1,1,1,0,1,1,Credit,76.18,1,5447.0
1,Jakarta,Mid End,0,0,0,0,0,1,Pulsa,46.085,1,2991.3
2,Jakarta,Mid End,0,0,0,0,0,0,Pulsa,57.655,1,3341.0
1,Jakarta,High End,0,0,0,0,0,0,Digital Wallet,91.585,1,5153.2
8,Jakarta,Mid End,1,0,0,1,0,1,Pulsa,92.495,1,3460.6
1,Jakarta,Mid End,0,0,0,0,0,0,Pulsa,59.345,1,3380.0
7,Jakarta,High End,0,0,0,0,1,1,Digital Wallet,123.5,1,3621.8
20,Bandung,High End,1,0,0,0,0,0,Pulsa,107.12,1,7434.7
4,Bandung,High End,0,0,0,0,0,0,Debit,92.17,1,5573.1
58,Bandung,Mid End,0,1,1,0,0,1,Pulsa,58.89,1,7077.2
2,Bandung,High End,0,0,1,1,1,1,Pulsa,135.72,1,6097.0
53,Bandung,High End,0,0,1,0,1,1,Debit,123.305,1,5626.4
15,Bandung,High End,0,0,0,0,0,0,Digital Wallet,96.785,1,7432.1
7,Bandung,High End,1,0,0,0,0,0,Debit,99.385,1,5744.7
1,Bandung,Mid End,0,1,0,0,0,0,Debit,38.935,1,5894.2
8,Bandung,High End,0,0,0,0,0,1,Debit,109.85,1,2797.6
13,Bandung,High End,0,1,1,0,0,0,Pulsa,103.025,1,6684.6
1,Bandung,Mid End,0,0,0,0,0,0,Pulsa,32.24,1,6306.3
6,Bandung,High End,0,1,1,0,0,1,Pulsa,118.3,1,2967.9
1,Bandung,High End,0,0,0,0,0,1,Pulsa,103.87,1,4412.2
