Customer ID,Tenure Months,Location,Device Class,Games Product,Music Product,Education Product,Call Center,Video Product,Use MyApp,Payment Method,Monthly Purchase (Thou. IDR),Churn Label,Longitude,Latitude,CLTV (Predicted Thou. IDR)
4933,13,Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,24.994,No,106.81667,-6.2,7253.1
2816,67,Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Credit,26.42,No,106.81667,-6.2,6406.2
1595,2,Bandung,Mid End,No,No,Yes,No,No,No,Pulsa,59.122,Yes,107.60981,-6.91474,3391.6
3939,61,Jakarta,Mid End,Yes,No,Yes,No,No,Yes,Debit,90.457,No,106.81667,-6.2,5730.6
4635,32,Jakarta,High End,No,No,No,No,Yes,Yes,Debit,122.276,No,106.81667,-6.2,3939.9
4334,37,Jakarta,High End,No,Yes,Yes,Yes,Yes,Yes,Credit,141.929,No,106.81667,-6.2,4193.3
6223,8,Bandung,High End,No,No,No,No,No,No,Debit,101.607,No,107.60981,-6.91474,4435.5
4948,19,Jakarta,Mid End,No,Yes,No,Yes,No,No,Debit,80.264,No,106.81667,-6.2,4157.2
6777,44,Jakarta,High End,No,No,No,No,No,No,Digital Wallet,97.967,No,106.81667,-6.2,4022.9
198,33,Jakarta,High End,No,Yes,Yes,Yes,Yes,Yes,Debit,136.403,Yes,106.81667,-6.2,3980.6
2590,40,Bandung,Mid End,No,No,Yes,No,Yes,No,Credit,58.468,No,107.60981,-6.91474,7067.9
6970,13,Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,25.921,No,106.81667,-6.2,3836.2
807,8,Jakarta,High End,No,No,No,No,Yes,No,Digital Wallet,98.009,Yes,106.81667,-6.2,3771.8
6944,6,Bandung,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Credit,26.094,No,107.60981,-6.91474,3966.0
5435,64,Jakarta,High End,Yes,Yes,Yes,No,Yes,No,Pulsa,130.602,No,106.81667,-6.2,6701.9
191,19,Jakarta,High End,No,No,No,No,No,No,Pulsa,90.206,Yes,106.81667,-6.2,2648.6
1733,1,Bandung,Mid End,No,No,No,No,No,No,Pulsa,63.407,Yes,107.60981,-6.91474,5921.4
6866,72,Bandung,Mid End,Yes,No,No,Yes,Yes,Yes,Credit,102.857,No,107.60981,-6.91474,7296.7
5230,72,Jakarta,High End,Yes,Yes,Yes,Yes,Yes,Yes,Pulsa,149.95,No,106.81667,-6.2,7506.1
6701,65,Bandung,High End,Yes,Yes,Yes,Yes,Yes,Yes,Debit,148.184,No,107.60981,-6.91474,7978.9
6802,43,Jakarta,Mid End,No,Yes,No,No,No,No,Digital Wallet,91.694,No,106.81667,-6.2,6620.3
2236,57,Jakarta,Mid End,No,No,Yes,Yes,Yes,Yes,Debit,57.817,No,106.81667,-6.2,6351.3
6952,8,Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,25.018,No,106.81667,-6.2,3707.8
3631,72,Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Credit,25.093,No,106.81667,-6.2,7822.3
3890,65,Jakarta,Mid End,Yes,Yes,Yes,Yes,Yes,Yes,Debit,117.084,No,106.81667,-6.2,7976.1
6756,24,Jakarta,Mid End,Yes,Yes,Yes,Yes,Yes,Yes,Pulsa,104.739,No,106.81667,-6.2,5414.6
3055,57,Bandung,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Debit,26.65,No,107.60981,-6.91474,7175.3
3869,22,Bandung,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,24.565,No,107.60981,-6.91474,6664.7
